bookkeeping,category,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,macroareas,markup_description,name,newick,pk
False,Spoken L1 Language,3,0,0,,,,faa,fasu1242,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://endangeredlanguages.com/lang/10734"", ""label"": ""Fasu""}, {""url"": ""https://grambank.clld.org/languages/fasu1242"", ""label"": ""Fasu""}, {""url"": ""https://lexibank.clld.org/languages/johanssonsoundsymbolic-Fasu"", ""label"": ""Fasu""}, {""url"": ""https://lexibank.clld.org/languages/transnewguineaorg-fasu"", ""label"": ""Fasu""}, {""url"": ""https://wals.info/languoid/lect/wals_code_fas"", ""label"": ""Fasu""}, {""url"": ""https://lexibank.clld.org/languages/transnewguineaorg-namumi"", ""label"": ""Fasu (Namumi Dialect)""}, {""url"": ""https://en.wikipedia.org/wiki/Fasu_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/fasu1242"", ""label"": null}, {""url"": ""https://www.wikidata.org/entity/Q3446687"", ""label"": null}], ""meds"": [[""70085"", ""grammar"", 1980, 102, ""Loeweke, Eunice and May, Jean 1980""], [""46930"", ""grammar_sketch"", 1973, 104, ""Eunice Loeweke and Loeweke Jean May and Eunice and Jean May and Jeffrey Bailey and Cooper Samuel 1973""], [""142468"", ""grammar_sketch"", 1966, 17, ""Loeweke, Eunice and May, Jean 1966""], [""60984"", ""phonology_or_text"", 1965, 9, ""Jean May and Eunice Loeweke 1965""], [""60983"", ""phonology_or_text"", 1964, 9, ""Loeweke, Eunice and May, Jean 1964""], [""16566"", ""wordlist_or_less"", 1963, 11, ""Jean May and Eunice Loeweke 1963""]]}",-6.62687,language,143.284,Papunesia,,Fasu,"('Kaibu [kaib1243]':1,'Namome [namo1245]':1,'Some [some1244]':1)'Fasu [fasu1242][faa]-l-':1",11
False,Spoken L1 Language,0,0,0,,,,was,wash1253,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://endangeredlanguages.com/lang/1149"", ""label"": ""Washo""}, {""url"": ""https://grambank.clld.org/languages/wash1253"", ""label"": ""Washo""}, {""url"": ""https://lexibank.clld.org/languages/johanssonsoundsymbolic-Washo"", ""label"": ""Washo""}, {""url"": ""https://wals.info/languoid/lect/wals_code_was"", ""label"": ""Washo""}, {""url"": ""https://en.wikipedia.org/wiki/Washo_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/wash1253"", ""label"": null}, {""url"": ""https://www.wikidata.org/entity/Q34198"", ""label"": null}], ""meds"": [[""104257"", ""long_grammar"", 1964, 701, ""Jacobsen, Jr., William H. 1964""], [""695516"", ""grammar_sketch"", 1907, 66, ""Kroeber, Alfred L. 1907""]]}",38.8184,language,-119.64,North America,,Washo,'Washo [wash1253][was]-l-':1,12
False,Spoken L1 Language,0,0,0,,,,ttd,taua1242,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://lexibank.clld.org/languages/transnewguineaorg-tauade"", ""label"": ""Tauade""}, {""url"": ""https://en.wikipedia.org/wiki/Tauade_language"", ""label"": null}, {""url"": ""https://www.wikidata.org/entity/Q7688634"", ""label"": null}], ""meds"": [[""51338"", ""grammar_sketch"", 1907, 10, ""Egidi, Vincenzo M. 1907""]]}",-8.3486,language,147.094,Papunesia,,Tauade,'Tauade [taua1242][ttd]-l-':1,13
False,Spoken L1 Language,0,0,0,,,,pue,puel1244,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://lexibank.clld.org/languages/johanssonsoundsymbolic-Gununakune"", ""label"": ""G\u00fcn\u00fcna K\u00fcne""}, {""url"": ""https://wals.info/languoid/lect/wals_code_gku"", ""label"": ""G\u00fcn\u00fcna K\u00fcne""}, {""url"": ""https://endangeredlanguages.com/lang/2899"", ""label"": ""G\u00fcn\u00fcna-K\u00fcne""}, {""url"": ""https://grambank.clld.org/languages/puel1244"", ""label"": ""Puelche""}, {""url"": ""https://en.wikipedia.org/wiki/Puelche_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/puel1244"", ""label"": null}, {""url"": ""https://www.wikidata.org/entity/Q33660"", ""label"": null}], ""meds"": [[""324544"", ""grammar"", 1995, 140, ""Rosas, Juan Manuel de 1995""], [""19970"", ""grammar"", 1983, 0, ""Casamiquela, Rodolfo 1983""], [""312142"", ""grammar"", 1947, 0, ""de Rosas, Juan Manuel 1947""], [""302128"", ""wordlist_or_less"", 1863, 71, ""Cox, Guillermo E. 1863""], [""130432"", ""wordlist_or_less"", 1846, 11, ""Horatio Hale 1846""], [""121928"", ""wordlist_or_less"", 1839, 7, ""d'Orbigny, Alcide Dessalines 1839""], [""17358"", ""wordlist_or_less"", 1834, 8, ""Anonymous 1834""]]}",-42.223,language,-68.666,South America,,Puelche,'Puelche [puel1244][pue]-l-':1,15
False,Spoken L1 Language,0,0,0,,,,tud,tuxa1239,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://www.wikidata.org/entity/Q7857217"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Tux%C3%A1_language"", ""label"": null}], ""meds"": [[""114226"", ""wordlist_or_less"", 1978, 6, ""Robert E. Meader 1978""], [""33097"", ""wordlist_or_less"", 1955, 1, ""Loukotka, \u010cestm\u00edr 1955""]]}",-8.953642,language,-38.2742287,South America,,Tuxá,'Tuxá [tuxa1239][tud]-l-':1,16
False,Spoken L1 Language,9,0,0,,,,NOCODE_Betoi,beto1236,"{""iso_retirement"": null, ""ethnologue_comment"": {""isohid"": ""NOCODE_Betoi"", ""comment_type"": ""missing"", ""ethnologue_versions"": [""E16"", ""E17"", ""E18"", ""E19"", ""E20"", ""E21"", ""E22"", ""E23"", ""E24"", ""E25"", ""E26"", ""E27"", ""E28""], ""comment"": ""Betoi-Jirara, an extinct language of present-day Venezuela, is missing from E16/E17/E18/E19/E20/E21/E22/E23/E24/E25/E26/E27/E28 (**hh:s:Hervas:Betoi**, **hh:s:Zamponi:Betoi**).""}, ""links"": [{""url"": ""https://wals.info/languoid/lect/wals_code_bti"", ""label"": ""Betoi""}, {""url"": ""https://grambank.clld.org/languages/beto1236"", ""label"": ""Betoi-Jirara""}, {""url"": ""https://en.wikipedia.org/wiki/Betoi_language"", ""label"": null}, {""url"": ""https://www.wikidata.org/entity/Q926551"", ""label"": null}], ""meds"": [[""106816"", ""grammar_sketch"", 2003, 64, ""Raoul Zamponi 2003""], [""57408"", ""grammar_sketch"", 2002, 26, ""Raoul Zamponi 2002""], [""129726"", ""grammar_sketch"", 1799, 16, ""Herv\u00e1s y Panduro, Lorenzo 1971 [1799]""], [""113070"", ""wordlist_or_less"", 1787, 4, ""Lorenzo Hervas 1787""]]}",7.223906,language,-71.420238,South America,,Betoi-Jirara,"(('Betoi [beto1237]':1,'Jirara [jira1248]':1,'Lolaca [lola1252]':1,'Mafilito [mafi1234]':1,'Quilifay [quil1257]':1)'Nuclear Betoi-Jirara [nucl1771]':1,('Ayrico [ayri1234]':1,'Situfa [situ1241]':1)'Situfa-Ayrico [situ1240]':1)'Betoi-Jirara [beto1236]-l-':1",17
False,Spoken L1 Language,0,0,0,,,,mrf,else1239,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://endangeredlanguages.com/lang/10679"", ""label"": ""Elseng""}, {""url"": ""https://www.wikidata.org/entity/Q3915667"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Elseng_language"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_els"", ""label"": ""Elseng""}], ""meds"": [[""128323"", ""wordlist_or_less"", 2000, 16, ""Burung, Wiem 2000""], [""42038"", ""wordlist_or_less"", 1994, 4, ""Smits, Leo and Voorhoeve, C. L. 1994""], [""141825"", ""wordlist_or_less"", 1971, 2, ""C. L. Voorhoeve 1971""], [""61622"", ""wordlist_or_less"", 1940, 10, ""Hoogland, J. 1940""]]}",-3.00176,language,140.418,Papunesia,,Elseng,'Elseng [else1239][mrf]-l-':1,19
False,Spoken L1 Language,2,0,0,,,,ano,ando1256,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://wals.info/languoid/lect/wals_code_adk"", ""label"": ""Andoke""}, {""url"": ""https://endangeredlanguages.com/lang/676"", ""label"": ""Andoque""}, {""url"": ""https://grambank.clld.org/languages/ando1256"", ""label"": ""Andoque""}, {""url"": ""https://en.wikipedia.org/wiki/Andoque_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/ando1256"", ""label"": null}, {""url"": ""https://www.wikidata.org/entity/Q2669225"", ""label"": null}], ""meds"": [[""120505"", ""long_grammar"", 1979, 350, ""Jon Landaburu 1979""], [""98888"", ""long_grammar"", 1976, 350, ""Landaburu, Jon 1976""], [""144127"", ""wordlist_or_less"", 1952, 13, ""Paul Rivet and Robert de Wavrin 1952""], [""54846"", ""wordlist_or_less"", 1862, 1, ""Latham, Robert Gordon 1862""]]}",-0.53751,language,-72.0869,South America,,Andoque,"('Andoke [ando1257]':1,'Urekena [urek1234]':1)'Andoque [ando1256][ano]-l-':1",20
False,Spoken L1 Language,0,0,0,,,,pby,pyuu1245,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://endangeredlanguages.com/lang/4950"", ""label"": ""Pyu""}, {""url"": ""https://lexibank.clld.org/languages/transnewguineaorg-pyu"", ""label"": ""Pyu""}, {""url"": ""https://en.wikipedia.org/wiki/Pyu_language_(Papuan)"", ""label"": null}, {""url"": ""https://www.wikidata.org/entity/Q2567925"", ""label"": null}], ""meds"": [[""98517"", ""wordlist_or_less"", 1972, 4, ""Don Laycock 1972""]]}",-4.45003,language,141.018,Papunesia,,Pyu,'Pyu [pyuu1245][pby]-l-':1,22
False,Spoken L1 Language,0,0,0,,,,omc,moch1259,"{""iso_retirement"": null, ""ethnologue_comment"": null, ""links"": [{""url"": ""https://grambank.clld.org/languages/moch1259"", ""label"": ""Mochica""}, {""url"": ""https://wals.info/languoid/lect/wals_code_mcc"", ""label"": ""Mochica""}, {""url"": ""https://en.wikipedia.org/wiki/Mochica_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/moch1259"", ""label"": null}, {""url"": ""https://www.wikidata.org/entity/Q1951641"", ""label"": null}], ""meds"": [[""41189"", ""grammar"", 1892, 244, ""E. W. Middendorf 1892""], [""303419"", ""grammar_sketch"", 1644, 136, ""de la Carrera, Fernando 1880 [1644]""]]}",-8.01667,language,-79.0,South America,,Mochica,'Mochica [moch1259][omc]-l-':1,23
